event_index,malicious,detection,event_time,title,description,remediation_actions
11,False,,13/Feb/2025:14:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A PUT operation was performed on object conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log in bucket databucket12312. No prior data prefix listing or matching download/upload activity within 5 minutes detected, so this activity is not flagged as malicious according to the current rule.",
12,False,,26/Jan/2025:00:37:54 +0000,REST.HEAD.BUCKET operation on databucket12312,A HEAD bucket operation was performed on bucket databucket12312 to check its existence or metadata. This is a normal operation and no related suspicious activity detected in history.,
13,False,,07/Mar/2025:04:00:04 +0000,REST.GET.OBJECT operation on databucket12312,"A GET operation was performed on object conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log in bucket databucket12312. No prior data prefix listing or matching upload/download within 5 minutes detected, so this activity is not flagged as malicious according to the current rule.",
15,False,,07/Mar/2025:04:00:04 +0000,HEAD Object Request,A HEAD request was made to check metadata of an object in the bucket databucket12312. This is a normal operation and no malicious activity is detected based on the current event and history.,
16,False,,07/Mar/2025:04:00:04 +0000,HEAD Object Request,A HEAD request was made to check metadata of an object named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log in the bucket databucket12312. This is a normal operation with no indication of malicious activity based on current event and history.,
17,False,,07/Mar/2025:04:00:04 +0000,GET Object Request,A GET request was made to download the object dummy.log from the bucket databucket12312. This is a normal operation and no malicious activity is detected based on the current event and history.,
18,False,,07/Mar/2025:04:00:04 +0000,HEAD Object Request,A HEAD request was made to check metadata of the object dummy.log in the bucket databucket12312. This is a normal operation with no indication of malicious activity based on the current event and history.,
20,False,,07/Mar/2025:04:00:04 +0000,PUT Object Operation in databucket12312,A PUT operation was performed to upload an object named '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' to the bucket 'databucket12312' successfully with HTTP status 200.,
21,False,,07/Mar/2025:04:00:04 +0000,Bucket Listing Operation in databucket12312,A GET bucket operation was performed to list objects in the bucket 'databucket12312' successfully with HTTP status 200.,
23,False,,12/Jan/2025:22:25:56 +0000,REST.OPTIONS.PREFLIGHT on databucket12312,"A preflight OPTIONS request was made to the databucket12312 bucket, which is a normal CORS preflight request to check permissions for cross-origin requests. No suspicious activity detected.",
24,False,,12/Jan/2025:22:25:56 +0000,REST.GET.TAGGING on databucket12312,"A GET tagging request was made on the databucket12312 bucket, returning tag information successfully. This is a normal bucket metadata retrieval operation.",
25,False,,22/Feb/2025:15:31:36 +0000,REST.PUT.OBJECT on databucket12312,An object named 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was uploaded successfully to the databucket12312 bucket. This is a normal object upload operation.,
26,False,,22/Feb/2025:15:31:36 +0000,REST.PUT.OBJECT on databucket12312,An object named '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' was uploaded successfully to the databucket12312 bucket. This is a normal object upload operation.,
28,False,,10/Feb/2025:21:31:36 +0000,PUT Object Operation,A successful PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312'. No prior related listing or download/upload activity within 5 minutes detected that would indicate malicious encryption impact activity.,
29,False,,10/Feb/2025:21:31:36 +0000,PUT Object Operation,A successful PUT operation was performed on the object 'dummy.log' in bucket 'databucket12312'. No prior related listing or download/upload activity within 5 minutes detected that would indicate malicious encryption impact activity.,
30,False,,10/Feb/2025:21:31:36 +0000,PUT Object Operation,A successful PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312'. No prior related listing or download/upload activity within 5 minutes detected that would indicate malicious encryption impact activity.,
31,False,,24/Feb/2025:15:00:05 +0000,HEAD Object Operation,A HEAD operation was performed on the object 'dummy.log' in bucket 'databucket12312'. This is a metadata request and does not indicate malicious activity by itself.,
32,False,,24/Feb/2025:15:00:05 +0000,GET Object Operation,A successful GET operation was performed on the object 'dummy.log' in bucket 'databucket12312'. No prior listing of the bucket with data prefix or upload of the same filename within 5 minutes detected that would indicate malicious encryption impact activity.,
33,False,,24/Feb/2025:15:00:05 +0000,PUT Object Operation,A successful PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312'. No suspicious listing or download/upload activity with the same filename within 5 minutes detected that would indicate malicious encryption impact activity.,
35,False,,24/Feb/2025:15:00:05 +0000,PUT Object Operation on databucket12312,A file named dummy.log was uploaded successfully to bucket databucket12312 by user HarunG1. No prior suspicious activity detected related to this event.,
36,False,,24/Feb/2025:15:00:05 +0000,Bucket Listing on databucket12312,The bucket databucket12312 was listed successfully by user HarunG1. This is a normal activity and no prior suspicious file download or upload was detected within 5 minutes.,
37,False,,24/Feb/2025:15:00:05 +0000,HEAD Object Operation on databucket12312,A HEAD request was made for the object conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log in bucket databucket12312 by user HarunG1. This is a metadata check and no suspicious activity has been detected in the recent history related to this event.,
38,False,,24/Feb/2025:15:00:05 +0000,PUT Object Operation on databucket12312,A file named 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log was uploaded successfully to bucket databucket12312 by user HarunG1. No suspicious activity pattern detected within 5 minutes related to this file.,
39,False,,24/Feb/2025:15:00:05 +0000,HEAD Object Operation on databucket12312,A HEAD request was made for the object 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log in bucket databucket12312 by user HarunG1. This is a metadata check and no suspicious activity has been detected in the recent history related to this event.,
40,False,,24/Feb/2025:15:00:05 +0000,GET Object Operation on databucket12312,A file named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log was downloaded successfully from bucket databucket12312 by user HarunG1. No prior suspicious upload or rename activity detected within 5 minutes to indicate malicious data encryption or impact.,
41,False,,21/Feb/2025:10:00:06 +0000,PUT Object Operation on databucket12312,A file named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log was uploaded successfully to bucket databucket12312 by user HarunG1. No suspicious activity pattern detected within 5 minutes related to this file.,
43,False,,21/Feb/2025:10:00:06 +0000,HEAD Object Operation on databucket12312,A HEAD request was made to check the metadata of the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312'. This operation alone is not malicious and no related suspicious activity has been detected in the recent history.,
44,False,,21/Feb/2025:10:00:06 +0000,GET Object Operation on databucket12312,A GET request was made to download the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' from bucket 'databucket12312'. This operation alone is not malicious and no related suspicious activity has been detected in the recent history.,
45,False,,21/Feb/2025:10:00:06 +0000,HEAD Object Operation on databucket12312,A HEAD request was made to check the metadata of the object 'dummy.log' in bucket 'databucket12312'. This operation alone is not malicious and no related suspicious activity has been detected in the recent history.,
46,False,,21/Feb/2025:10:00:06 +0000,GET Object Operation on databucket12312,A GET request was made to download the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' from bucket 'databucket12312'. This operation alone is not malicious and no related suspicious activity has been detected in the recent history.,
47,False,,21/Feb/2025:10:00:06 +0000,HEAD Object Operation on databucket12312,A HEAD request was made to check the metadata of the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312'. This operation alone is not malicious and no related suspicious activity has been detected in the recent history.,
48,False,,21/Feb/2025:10:00:06 +0000,List Bucket Operation on databucket12312,A GET request was made to list the contents of the bucket 'databucket12312'. This operation alone is not malicious and no related suspicious activity has been detected in the recent history.,
50,False,,21/Feb/2025:10:00:06 +0000,PUT Object Operation,A PUT operation was performed on the bucket 'databucket12312' for the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' successfully. No suspicious activity detected based on current rules.,
51,False,,07/Mar/2025:01:00:04 +0000,PUT Object Operation,A PUT operation was performed on the bucket 'databucket12312' for the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' successfully. No suspicious activity detected based on current rules.,
52,False,,07/Mar/2025:01:00:04 +0000,HEAD Object Operation,A HEAD operation was performed on the bucket 'databucket12312' for the object 'dummy.log' successfully. No suspicious activity detected based on current rules.,
54,False,,07/Mar/2025:01:00:04 +0000,HEAD Object Operation on databucket12312,A HEAD request was made to check metadata of an object in the bucket databucket12312. This operation alone is not malicious and no suspicious activity pattern was detected.,
55,False,,07/Mar/2025:01:00:04 +0000,GET Object Operation on databucket12312,A GET request was made to download an object from the bucket databucket12312. This activity alone is not malicious and no suspicious pattern was detected based on current and previous events.,
57,False,,07/Mar/2025:01:00:04 +0000,REST.GET.OBJECT operation on databucket12312,A successful GET operation was performed on an object in the databucket12312 bucket. No suspicious activity pattern detected based on current and prior events.,
58,False,,07/Mar/2025:01:00:04 +0000,REST.GET.OBJECT operation on databucket12312,A successful GET operation was performed on the object 'dummy.log' in the databucket12312 bucket. No suspicious activity pattern detected based on current and prior events.,
59,False,,07/Mar/2025:01:00:04 +0000,REST.GET.BUCKET operation on databucket12312,A successful bucket listing (GET.BUCKET) operation was performed on the databucket12312 bucket. This is a normal activity and no suspicious pattern detected based on current and prior events.,
60,False,,07/Mar/2025:01:00:04 +0000,REST.HEAD.OBJECT operation on databucket12312,A successful HEAD operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in the databucket12312 bucket. No suspicious activity pattern detected based on current and prior events.,
61,False,,09/Feb/2025:13:00:08 +0000,REST.HEAD.OBJECT operation on databucket12312,A successful HEAD operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in the databucket12312 bucket. No suspicious activity pattern detected based on current and prior events.,
62,False,,09/Feb/2025:13:00:08 +0000,REST.GET.OBJECT operation on databucket12312,A successful GET operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in the databucket12312 bucket. No suspicious activity pattern detected based on current and prior events.,
63,False,,09/Feb/2025:13:00:08 +0000,REST.GET.BUCKET operation on databucket12312,A successful bucket listing (GET.BUCKET) operation was performed on the databucket12312 bucket. This is a normal activity and no suspicious pattern detected based on current and prior events.,
65,False,,09/Feb/2025:13:00:09 +0000,PUT Object Operation on databucket12312,"A file named 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was uploaded successfully to the bucket 'databucket12312' by user HarunG1. No prior listing of data prefix files or related download and upload activities within 5 minutes were detected, so this activity is not currently considered malicious.",
66,False,,09/Feb/2025:13:00:09 +0000,GET Object Operation on databucket12312,"A file named 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was downloaded successfully from the bucket 'databucket12312' by user HarunG1. No prior listing of data prefix files or related upload activities within 5 minutes were detected, so this activity is not currently considered malicious.",
68,False,,09/Feb/2025:13:00:09 +0000,HEAD Object Operation on dummy.log,A HEAD request was made to check the metadata of the object dummy.log in bucket databucket12312. The operation was successful with HTTP status 200. No suspicious activity detected based on current and historical logs.,
69,False,,09/Feb/2025:13:00:09 +0000,HEAD Object Operation on conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log,A HEAD request was made to check the metadata of the object conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log in bucket databucket12312. The operation was successful with HTTP status 200. No suspicious activity detected based on current and historical logs.,
70,False,,09/Feb/2025:13:00:09 +0000,GET Object Operation on dummy.log,A GET request was made to download the object dummy.log from bucket databucket12312. The operation was successful with HTTP status 200. No suspicious activity detected based on current and historical logs.,
71,False,,13/Feb/2025:15:31:36 +0000,PUT Object Operation on 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log,A PUT request was made to upload the object 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log in bucket databucket12312. The operation was successful with HTTP status 200. No suspicious activity detected based on current and historical logs.,
73,False,,13/Feb/2025:15:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object 'dummy.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. There is no preceding event of listing followed by download and upload within 5 minutes to indicate data encryption for impact.,
74,False,,23/Feb/2025:09:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object 'dummy.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. No suspicious sequence of listing followed by download and upload within 5 minutes detected.,
75,False,,23/Feb/2025:09:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. No suspicious sequence of listing followed by download and upload within 5 minutes detected.,
76,False,,23/Feb/2025:09:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. No suspicious sequence of listing followed by download and upload within 5 minutes detected.,
77,False,,24/Feb/2025:22:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. No suspicious sequence of listing followed by download and upload within 5 minutes detected.,
78,False,,24/Feb/2025:22:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object 'dummy.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. There is no preceding event of listing followed by download and upload within 5 minutes to indicate data encryption for impact.,
79,False,,24/Feb/2025:22:31:36 +0000,PUT Object Operation on databucket12312,A PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. No suspicious sequence of listing followed by download and upload within 5 minutes detected.,
80,False,,12/Jan/2025:22:48:19 +0000,HEAD Object Operation on databucket12312,A HEAD operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. The operation was successful with HTTP status 200. No suspicious sequence of listing followed by download and upload within 5 minutes detected.,
82,False,,12/Jan/2025:22:48:19 +0000,REST.GET.OBJECT operation on databucket12312,A GET object request was made on the bucket databucket12312 for the object 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log at 22:48:19. The request was successful with HTTP status 200. No suspicious activity detected based on current and prior events.,
83,False,,18/Jan/2025:15:37:11 +0000,REST.GET.BUCKET operation on databucket12312,"A bucket listing (GET BUCKET) request was made on databucket12312 at 15:37:11. The request succeeded with HTTP status 200. No files were downloaded or uploaded within 5 minutes before or after this event, so no suspicious activity detected.",
84,False,,18/Jan/2025:15:37:15 +0000,REST.GET.VERSIONING operation on databucket12312,A GET VERSIONING request was made on bucket databucket12312 at 15:37:15. The request was successful with HTTP status 200. No suspicious activity detected based on current and prior events.,
86,False,,25/Feb/2025:13:31:35 +0000,PUT Object in databucket12312,A successful PUT operation was performed on object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious listing or download/upload activity detected within 5 minutes to indicate malicious behavior.,
87,False,,25/Feb/2025:13:31:35 +0000,PUT Object in databucket12312,A successful PUT operation was performed on object 'dummy.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious listing or download/upload activity detected within 5 minutes to indicate malicious behavior.,
88,False,,26/Jan/2025:01:03:20 +0000,HEAD Bucket Operation on databucket12312,A HEAD operation was performed on bucket 'databucket12312' by user HarunG1. This operation checks for the bucket's existence or metadata and is not inherently malicious. No related suspicious activity detected in history.,
89,False,,21/Feb/2025:05:31:36 +0000,PUT Object in databucket12312,A successful PUT operation was performed on object 'dummy.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious listing or download/upload activity detected within 5 minutes to indicate malicious behavior.,
90,False,,21/Feb/2025:05:31:36 +0000,PUT Object in databucket12312,A successful PUT operation was performed on object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious listing or download/upload activity detected within 5 minutes to indicate malicious behavior.,
91,False,,21/Feb/2025:05:31:36 +0000,PUT Object in databucket12312,A successful PUT operation was performed on object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious listing or download/upload activity detected within 5 minutes to indicate malicious behavior.,
92,False,,09/Mar/2025:08:31:36 +0000,PUT Object in databucket12312,A successful PUT operation was performed on object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious listing or download/upload activity detected within 5 minutes to indicate malicious behavior.,
94,False,,09/Mar/2025:08:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A file named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log was uploaded successfully to the bucket databucket12312. No prior listing or download activity for files with data prefix detected within 5 minutes, so this event is not considered malicious based on current detection rules.",
95,False,,19/Jan/2025:12:47:55 +0000,REST.OPTIONS.PREFLIGHT operation on databucket12312,A preflight OPTIONS request was made to the bucket databucket12312. This is a normal CORS preflight check and does not indicate malicious activity based on current detection rules.,
96,False,,09/Feb/2025:11:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A file named 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log was uploaded successfully to the bucket databucket12312. No prior listing or download activity for files with data prefix detected within 5 minutes, so this event is not considered malicious based on current detection rules.",
97,False,,09/Feb/2025:11:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A file named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log was uploaded successfully to the bucket databucket12312. No prior listing or download activity for files with data prefix detected within 5 minutes, so this event is not considered malicious based on current detection rules.",
98,False,,09/Feb/2025:11:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A file named dummy.log was uploaded successfully to the bucket databucket12312. No prior listing or download activity for files with data prefix detected within 5 minutes, so this event is not considered malicious based on current detection rules.",
99,False,,07/Mar/2025:10:31:35 +0000,REST.PUT.OBJECT operation on databucket12312,"A file named 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log was uploaded successfully to the bucket databucket12312. No prior listing or download activity for files with data prefix detected within 5 minutes, so this event is not considered malicious based on current detection rules.",
100,False,,07/Mar/2025:10:31:35 +0000,REST.PUT.OBJECT operation on databucket12312,"A file named dummy.log was uploaded successfully to the bucket databucket12312. No prior listing or download activity for files with data prefix detected within 5 minutes, so this event is not considered malicious based on current detection rules.",
102,False,,01/Mar/2025:05:31:36 +0000,PUT Object Operation on databucket12312,A successful PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious activity detected to indicate malicious behavior.,
103,False,,01/Mar/2025:05:31:36 +0000,PUT Object Operation on databucket12312,A successful PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious activity detected to indicate malicious behavior.,
104,False,,01/Mar/2025:05:31:36 +0000,PUT Object Operation on databucket12312,A successful PUT operation was performed on the object 'dummy.log' in bucket 'databucket12312' by user HarunG1. No prior suspicious activity detected to indicate malicious behavior.,
105,False,,07/Mar/2025:13:00:03 +0000,HEAD Object Operation on databucket12312,A successful HEAD operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' by user HarunG1. No suspicious activity pattern detected based on previous events.,
106,False,,07/Mar/2025:13:00:03 +0000,HEAD Object Operation on databucket12312,A successful HEAD operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' by user HarunG1. No suspicious activity pattern detected based on previous events.,
107,False,,07/Mar/2025:13:00:03 +0000,GET Bucket List Operation on databucket12312,A successful GET bucket listing operation was performed on bucket 'databucket12312' by user HarunG1. No suspicious activity pattern detected based on previous events.,
109,False,,07/Mar/2025:13:00:03 +0000,PUT Object Operation,A successful PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312'. There is no preceding listing or file download/upload activity within 5 minutes indicating possible data encryption impact.,
110,False,,07/Mar/2025:13:00:03 +0000,GET Object Operation,"A successful GET operation was performed on the object 'dummy.log' in bucket 'databucket12312'. No preceding bucket listing or subsequent file upload with the same filename within 5 minutes detected, indicating no data encryption for impact activity.",
111,False,,07/Mar/2025:13:00:03 +0000,PUT Object Operation,A successful PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312'. No preceding listing or download of files with the same filename within 5 minutes indicating no data encryption for impact activity.,
113,False,,07/Mar/2025:13:00:03 +0000,HEAD Object Request for dummy.log,A HEAD request was made to check the metadata of the object 'dummy.log' in bucket 'databucket12312'. This operation is not malicious by itself and no suspicious activity has been detected based on the current and past events.,
114,False,,07/Mar/2025:13:00:03 +0000,GET Object Request for 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log,A GET request was made to download the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' from bucket 'databucket12312'. This operation is not malicious by itself and no suspicious activity has been detected based on the current and past events.,
