event_index,malicious,detection,event_time,title,description,remediation_actions
21,True,CredentialsFromPasswordStores,2025-03-03T23:00:02Z,Unauthorized Access to secretPassword Outside Usual Hours,"An IAM user 'HarunG1' accessed the 'secretPassword' value in Secrets Manager successfully at 23:00, which is outside the usual working hours (08:00-23:00). This is considered suspicious and potentially malicious as per the ValidAccounts detection combined with CredentialsFromPasswordStores rule.",Investigate the user's access patterns and verify the legitimacy of this access. Consider rotating the secretPassword and reviewing IAM user permissions to restrict access to sensitive secrets only to authorized entities during appropriate hours.
22,True,CredentialsFromPasswordStores,2025-03-03T11:00:02Z,Access to secretPassword in Secrets Manager,An IAM user 'HarunG1' accessed the 'secretPassword' secret value in AWS Secrets Manager successfully. The responseElements is null indicating successful access to sensitive credentials.,"Verify the legitimacy of this access. If unauthorized, immediately rotate the secretPassword, audit IAM user permissions, and investigate potential credential compromise."
23,True,CredentialsFromPasswordStores,2025-03-03T20:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' successfully accessed the secret value 'secretPassword' in Secrets Manager. The responseElements is null indicating successful retrieval, which matches the detection condition for CredentialsFromPasswordStores. Such access to sensitive password secrets can be malicious if not authorized.","Verify the legitimacy of the user's access rights to the secret. If unauthorized, revoke the user's permissions immediately, rotate the exposed secret, and review audit logs for further suspicious activity."
25,True,CredentialsFromPasswordStores,2025-03-04T05:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user 'HarunG1' accessed the secret value 'secretPassword' successfully, which is allowed only for AWSService users. This indicates potential unauthorized access to sensitive credentials.",Review the permissions of IAM user 'HarunG1' and restrict access to sensitive secrets. Rotate the secret 'secretPassword' immediately. Monitor for any further unauthorized access attempts and audit all accesses to sensitive secrets.
26,True,CredentialsFromPasswordStores,2025-03-04T18:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully. According to the detection rule, access to 'secretPassword' is considered malicious unless performed by AWSService user, which is not the case here.","Verify the legitimacy of the user 'HarunG1'. If unauthorized, revoke the user's access keys and credentials immediately. Rotate the secret 'secretPassword' to prevent further unauthorized usage. Enable monitoring and alerting on secret access events and restrict secret access permissions to only necessary service principals."
28,True,CredentialsFromPasswordStores,2025-03-04T17:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"The secret 'secretPassword' was accessed successfully by IAM user 'HarunG1', which is not an allowed entity (only AWSService user is allowed). This indicates potential unauthorized credential access.",Immediately revoke or rotate the secret 'secretPassword'. Review and restrict IAM user 'HarunG1' permissions. Investigate the activity source and monitor for further suspicious accesses.
29,True,CredentialsFromPasswordStores,2025-03-04T07:00:02Z,Access to secretPassword value in Secrets Manager,An IAM user 'HarunG1' accessed the 'secretPassword' value stored in Secrets Manager successfully (responseElements is null). This indicates potential unauthorized credential access.,"Verify the legitimacy of the access by user 'HarunG1'. If unauthorized, revoke the user's access keys and rotate the secretPassword immediately. Enable monitoring and alerting for future access to sensitive secrets."
31,True,CredentialsFromPasswordStores,2025-03-04T11:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully. According to the rules, only AWSService user is allowed to access 'secretPassword'. This access is considered malicious.",Review the IAM user's permissions and revoke unauthorized access to secrets. Rotate the secretPassword to prevent misuse. Monitor further access logs for suspicious activity.
32,True,CredentialsFromPasswordStores,2025-03-04T22:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' from Secrets Manager successfully at 22:00 UTC, which is outside usual working hours and the responseElements is null indicating successful access. This matches the CredentialsFromPasswordStores detection rule.",Review the access permissions for the IAM user 'HarunG1' and Secrets Manager policies. Ensure that access to sensitive secrets like 'secretPassword' is restricted to authorized users only. Consider rotating the secret immediately and enable monitoring and alerting for secret access events especially outside of normal working hours.
33,True,CredentialsFromPasswordStores,2025-03-04T20:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully, indicated by null responseElements. This activity is flagged as malicious because accessing sensitive password secrets can lead to credential compromise.",Review the access permissions for the secret 'secretPassword' and restrict it to only authorized AWSService users. Investigate the IAM user 'HarunG1' activity and credentials. Rotate the secret password immediately to prevent potential misuse.
35,True,CredentialsFromPasswordStores,2025-03-04T13:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully. Access by IAMUser to 'secretPassword' is suspicious as only AWSService users are allowed to access this secret according to false positive rules.,Review the IAM user's permissions and access patterns. Rotate the secretPassword immediately. Investigate the user's activity for potential compromise. Implement stricter access controls and monitoring on Secrets Manager secrets.
37,True,CredentialsFromPasswordStores,2025-03-04T01:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully at an unusual time (01:00 UTC), which is outside the usual working hours of 08:00 to 23:00. This access is considered malicious as secretPassword should only be accessed by AWSService user and the access time is suspicious.",Review the access policies for secretPassword in Secrets Manager. Immediately revoke or rotate credentials if unauthorized access is confirmed. Monitor further access logs for anomalies. Enforce stricter IAM policies and enable multi-factor authentication for IAM users accessing sensitive secrets.
39,True,CredentialsFromPasswordStores,2025-03-04T03:00:02Z,Unauthorized Access to Secret Password,An IAM user 'HarunG1' accessed the secret value 'secretPassword' successfully at 03:00:02 which is outside normal working hours and the responseElements is null indicating successful access. This activity is considered malicious as only AWSService users are allowed to access this secret.,Immediately review and revoke the IAM user's access permissions to the Secrets Manager. Rotate the secret 'secretPassword' to prevent further unauthorized use. Enable multi-factor authentication (MFA) for all IAM users. Monitor further access to sensitive secrets and audit logs for unusual activity.
41,True,CredentialsFromPasswordStores,2025-03-04T02:00:02Z,Unauthorized Access to secretPassword Outside Usual Hours,"An IAM user HarunG1 accessed the secret value 'secretPassword' in Secrets Manager successfully at 02:00 UTC, which is outside the usual working hours of 08:00 to 23:00. This access is considered malicious as it violates the usual access time policy and the secret is sensitive.",Review the access logs and permissions for user HarunG1. Immediately revoke or rotate the accessed secret 'secretPassword'. Enforce stricter access controls and monitoring for Secrets Manager. Consider implementing multi-factor authentication and alerting for out-of-hours access.
43,True,CredentialsFromPasswordStores,2025-03-04T14:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully. According to the detection rules, secretPassword value should only be accessible by AWSService user, so this access is considered malicious.",Review the IAM user's permissions and restrict access to sensitive secrets. Rotate the secretPassword value immediately to prevent misuse. Monitor further access to secrets and investigate the user's activities for potential compromise.
46,True,CredentialsFromPasswordStores,2025-03-04T12:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"The IAM user HarunG1 successfully accessed the secretPassword value stored in Secrets Manager. According to the detection rules, only AWSService user type is allowed to access this secret. This access is considered malicious.",Immediately revoke the IAM user's access keys and permissions. Rotate the secretPassword value. Investigate the user's activity and audit for any further unauthorized access or data exfiltration. Enhance monitoring and alerting for secret access events.
47,True,CredentialsFromPasswordStores,2025-03-04T00:00:03Z,Access to secretPassword value in Secrets Manager,An IAM user 'HarunG1' accessed the secret value 'secretPassword' stored in Secrets Manager successfully (responseElements is null indicating success). This matches the CredentialsFromPasswordStores detection rule.,"Verify the legitimacy of this access by user 'HarunG1'. If unauthorized, rotate the secret 'secretPassword' immediately and review IAM permissions to restrict access to sensitive secrets. Enable monitoring and alerting on secret access events."
48,True,CredentialsFromPasswordStores,2025-03-05T23:00:02Z,Unauthorized Access to Secret Password Value,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully (responseElements is null indicates success). According to the detection rule, accessing 'secretPassword' is considered malicious unless accessed by AWSService user, which is not the case here.","Review the IAM user's permissions and access logs. Immediately rotate the secret 'secretPassword' to invalidate any compromised credentials. Implement stricter access control policies for secrets in Secrets Manager, limiting access to only authorized AWSService users or necessary roles. Monitor for any further unauthorized access attempts."
49,True,CredentialsFromPasswordStores,2025-03-05T09:00:02Z,Access to secretPassword value in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully (responseElements is null indicating success). This matches the detection condition for CredentialsFromPasswordStores, which is considered malicious unless accessed by AWSService user (which this is not).",Review the IAM user's permissions and access logs. Confirm if this access was authorized. Rotate the secretPassword immediately to prevent potential misuse. Implement stricter access controls and monitoring on sensitive secrets.
50,True,CredentialsFromPasswordStores,2025-03-05T11:00:02Z,Access to secretPassword value in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully (responseElements is null indicating success). This matches the detection rule for CredentialsFromPasswordStores, which is considered malicious unless accessed by AWSService user, which is not the case here.",Review the access permissions for the IAM user 'HarunG1'. Verify whether this access was authorized. Rotate the secretPassword value to prevent potential misuse. Monitor for any suspicious activity following this access. Consider implementing stricter access controls or multi-factor authentication for sensitive secrets access.
51,True,CredentialsFromPasswordStores,2025-03-05T06:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully outside of allowed user type (not AWSService). This access is considered malicious as per detection rules.,Review the access permissions for the secret 'secretPassword' and restrict it to authorized AWSService users only. Investigate the user activity and consider rotating the secret value immediately. Monitor for further unauthorized access attempts.
52,True,CredentialsFromPasswordStores,2025-03-05T00:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully. According to detection rules, accessing 'secretPassword' with a null responseElements indicates successful access, which is considered malicious unless performed by AWSService user, which is not the case here.",Immediately review and revoke the IAM user's credentials if unauthorized. Rotate the secret 'secretPassword' to prevent further unauthorized access. Enable stricter access policies and monitor Secrets Manager access logs for suspicious activities.
54,True,CredentialsFromPasswordStores,2025-03-05T13:00:03Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully, but only AWSService users are allowed to access this secret. This access is considered malicious and may indicate credential compromise or misuse.",Review the IAM user's permissions and access logs. Revoke or rotate the secretPassword credentials immediately. Implement stricter access controls and monitoring for Secrets Manager access.
56,True,CredentialsFromPasswordStores,2025-03-05T16:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' successfully at 16:00:02 UTC. According to the rules, only AWSService users are allowed to access this secret. This indicates a potential compromise or misuse of credentials.",Immediately revoke or rotate the credentials for user 'HarunG1'. Audit IAM policies and permissions to restrict access to sensitive secrets. Investigate the user's activity and source IP for further suspicious behavior. Enable multi-factor authentication (MFA) for all users accessing sensitive data.
58,True,CredentialsFromPasswordStores,2025-03-05T17:00:02Z,Unauthorized Access to Secret Password,"IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully at 17:00:02, which is not allowed as only AWSService users should access this secret. This indicates potential credential compromise.",Immediately revoke and rotate the secret 'secretPassword'. Review and restrict IAM user permissions to prevent unauthorized access to sensitive secrets. Monitor further access attempts and investigate the user's activity for signs of compromise.
60,True,CredentialsFromPasswordStores,2025-03-05T08:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully. Access to secretPassword is only allowed by AWSService user, making this activity potentially malicious.",Review the IAM user's permissions and restrict access to sensitive secrets. Rotate the secretPassword immediately. Monitor for any further unauthorized secret access and consider revoking the user's credentials.
63,True,CredentialsFromPasswordStores,2025-03-05T01:00:02Z,Unauthorized Access to secretPassword Outside Usual Hours,"An IAM user 'HarunG1' accessed the secret 'secretPassword' successfully at 01:00 UTC, which is outside the usual working hours of 08:00 to 23:00. This access to sensitive credentials during unusual hours is considered malicious.",Review the access permissions of the user 'HarunG1'. Investigate the reason for access outside usual hours. Consider rotating the secret 'secretPassword' and enforcing stricter access controls or MFA for sensitive secrets.
66,True,CredentialsFromPasswordStores,2025-03-05T14:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully. Access to secretPassword should only be by AWSService user. This indicates potential credential compromise or misuse.,Review the IAM user's permissions and access logs. Rotate the secretPassword immediately. Investigate the source IP and user activity. Implement stricter access controls and monitoring for Secrets Manager accesses.
67,True,CredentialsFromPasswordStores,2025-03-05T03:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user HarunG1 accessed the secret value 'secretPassword' in AWS Secrets Manager successfully (responseElements is null indicates success). This matches the detection rule for CredentialsFromPasswordStores, which flags successful access to secretPassword as malicious unless by AWSService user, which is not the case here.",Review the access permissions for the IAM user HarunG1 and Secrets Manager policies. Rotate the secret 'secretPassword' immediately to prevent potential misuse. Investigate the activity source and ensure the user's actions are authorized. Consider enabling stricter access controls and monitoring for Secrets Manager access.
69,True,CredentialsFromPasswordStores,2025-03-05T10:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"The IAM user HarunG1 accessed the 'secretPassword' value in Secrets Manager successfully, which is restricted to AWSService users only. This indicates a potential credential compromise or misuse.",Immediately revoke or rotate the secret accessed. Review and restrict IAM permissions for user HarunG1. Conduct a thorough audit of recent accesses and investigate for potential breaches. Implement stricter access controls and monitoring on Secrets Manager.
70,True,CredentialsFromPasswordStores,2025-03-05T12:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully. The responseElements is null, indicating successful retrieval of the secret value, which is considered malicious under the detection rule.",Immediately rotate the secret 'secretPassword' to invalidate the compromised credentials. Review and restrict IAM permissions to ensure only authorized AWSService users can access sensitive secrets. Monitor for further unauthorized access attempts and audit user 'HarunG1' activities.
72,True,CredentialsFromPasswordStores,2025-03-02T07:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' successfully accessed the secret value 'secretPassword' in Secrets Manager at 07:00 UTC, which is outside the usual working hours (08:00-23:00). The responseElements is null indicating successful access. This access is considered malicious since only AWSService user is allowed to access 'secretPassword' without being flagged.","1. Immediately review and revoke the access permissions of the IAM user 'HarunG1' to Secrets Manager secrets.
2. Rotate the secret 'secretPassword' to invalidate any potentially compromised credentials.
3. Investigate the context and purpose of this access to determine if any data exfiltration occurred.
4. Implement stricter access controls and monitoring for Secrets Manager access.
5. Consider enabling multi-factor authentication (MFA) for IAM users accessing sensitive secrets."
74,True,CredentialsFromPasswordStores,2025-03-02T01:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully. According to the rules, only AWSService users are allowed to access this secret. This unauthorized access indicates potential credential compromise.",Immediately revoke the IAM user's credentials and review their permissions. Rotate the secret 'secretPassword' to prevent misuse. Investigate the user's activity for further unauthorized actions and consider enabling stricter access controls and monitoring on Secrets Manager.
75,True,CredentialsFromPasswordStores,2025-03-02T05:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' successfully in Secrets Manager, which is considered malicious as per detection rules unless accessed by AWSService user.",Review the IAM user permissions and restrict access to sensitive secrets. Rotate the secretPassword immediately and monitor for any suspicious activity related to this user or secret.
76,True,CredentialsFromPasswordStores,2025-03-02T02:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully, which is considered a sensitive operation and potentially malicious as per detection rules.",Immediately review the access permissions for the user 'HarunG1'. Rotate the secret 'secretPassword' to invalidate any compromised credentials. Enable logging and monitoring for further suspicious access to secrets. Educate users on proper secret management and restrict access to sensitive secrets to only necessary roles.
79,True,CredentialsFromPasswordStores,2025-03-02T18:00:02Z,Unauthorized Access to secretPassword,"IAM user 'HarunG1' accessed the secret 'secretPassword' in Secrets Manager successfully, which is restricted to AWSService users only. This indicates unauthorized access to sensitive credentials.",Immediately revoke the user's access keys and credentials. Rotate the secretPassword value to prevent further misuse. Review IAM policies and restrict access to sensitive secrets. Monitor for any suspicious activities related to this user and secret.
80,True,CredentialsFromPasswordStores,2025-03-02T12:00:02Z,Access to secretPassword value in Secrets Manager,"An IAM user HarunG1 accessed the secret value 'secretPassword' in Secrets Manager successfully (responseElements is null indicates success). This matches the detection rule for CredentialsFromPasswordStores, which flags access to 'secretPassword' as malicious unless accessed by AWSService user. The user is IAMUser, not AWSService, so this is considered malicious.",Review the access permissions for the Secrets Manager secret 'secretPassword' and restrict access to only authorized AWSService users. Investigate the intent and legitimacy of this access by HarunG1. Rotate the secret if unauthorized access is confirmed. Enable monitoring and alerts for future access to sensitive secrets.
82,True,CredentialsFromPasswordStores,2025-03-02T17:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user HarunG1 successfully accessed the secret 'secretPassword' in Secrets Manager. Access to this secret value is restricted to AWSService users only, indicating a potential compromise or misuse of credentials.",Immediately review and revoke any unauthorized access permissions for the IAM user HarunG1. Rotate the secret 'secretPassword' to invalidate any exposed credentials. Conduct a security audit to identify any further suspicious activities and enhance monitoring on Secrets Manager access logs.
84,True,CredentialsFromPasswordStores,2025-03-02T13:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user 'HarunG1' accessed the secret value 'secretPassword' successfully at 2025-03-02T13:00:02Z. Access to this secret is only allowed for AWSService users, indicating potential unauthorized credential access.",Immediately revoke the IAM user's access keys and permissions to Secrets Manager. Rotate the exposed secretPassword credentials. Conduct a full security audit to identify any misuse of the credentials. Monitor further access attempts to sensitive secrets and enforce stricter access policies.
87,True,CredentialsFromPasswordStores,2025-03-02T16:00:03Z,Unauthorized Access to secretPassword in Secrets Manager,"IAMUser 'HarunG1' accessed the secret value 'secretPassword' successfully, which is against the allowed access policy that permits only AWSService users to access this secret. This indicates a potential credential compromise or misuse.",Immediately revoke the IAMUser 'HarunG1' access to Secrets Manager. Rotate the secret 'secretPassword' to invalidate any compromised credentials. Investigate the user's activity for further unauthorized actions. Implement stricter access control policies and monitoring for secret accesses.
89,True,CredentialsFromPasswordStores,2025-03-02T23:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,An IAM user 'HarunG1' accessed the 'secretPassword' value stored in Secrets Manager successfully outside usual working hours. This access is considered malicious as it violates access policies which restrict access to AWSService users only.,Review and revoke unnecessary permissions for the IAM user 'HarunG1'. Rotate the secret 'secretPassword' immediately. Enable monitoring and alerting for secret access events. Conduct a security audit to check for any potential compromise.
90,True,CredentialsFromPasswordStores,2025-03-02T21:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully, which is considered malicious unless accessed by AWSService user.",Investigate the user 'HarunG1' activity and permissions. Rotate the secret 'secretPassword' immediately. Review and restrict access policies for secrets in Secrets Manager.
91,True,CredentialsFromPasswordStores,2025-03-02T10:00:03Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value of 'secretPassword' in AWS Secrets Manager successfully. The responseElements is null indicating successful retrieval of the secret value, which matches the detection condition for CredentialsFromPasswordStores. This access is considered malicious unless performed by an AWSService user, which is not the case here.",Review the IAM user's permissions and revoke unnecessary access to secrets. Rotate the secret 'secretPassword' immediately. Enable multi-factor authentication (MFA) for the user. Monitor further access to secrets and investigate any suspicious activities.
93,True,CredentialsFromPasswordStores,2025-03-02T14:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user HarunG1 accessed the secretPassword value stored in Secrets Manager successfully, which is allowed only for AWSService users. This indicates unauthorized credential access.",Review and revoke the IAM user's permissions to access the secretPassword secret. Rotate the secretPassword credentials immediately. Monitor further access to Secrets Manager for suspicious activity.
96,True,CredentialsFromPasswordStores,2025-03-07T09:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully. Access to this secret is allowed only by AWSService users, making this access suspicious and potentially malicious.",Immediately investigate the IAM user HarunG1's activity and permissions. Rotate the secretPassword credentials to prevent misuse. Review and tighten access policies for Secrets Manager to restrict secret access only to authorized AWSService users.
97,True,CredentialsFromPasswordStores,2025-03-07T17:00:02Z,Access to secretPassword in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully, which is considered a credential access event.",Review the access permissions for the secret 'secretPassword'. Ensure that only authorized AWSService users have access. Rotate the secret immediately and monitor for any suspicious activity related to this credential.
98,True,CredentialsFromPasswordStores,2025-03-07T20:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully, indicated by null responseElements. This matches the detection rule for CredentialsFromPasswordStores.",Review the access permissions for the user 'HarunG1'. Verify if this access was authorized. Rotate the secret 'secretPassword' immediately to prevent potential misuse. Enable logging and monitoring for further suspicious activities related to secrets access.
100,True,CredentialsFromPasswordStores,2025-03-07T04:00:03Z,Unauthorized Access to secretPassword in Secrets Manager,"The IAM user HarunG1 accessed the secret value 'secretPassword' in Secrets Manager successfully. Access to 'secretPassword' is supposed to be allowed only by AWSService user, making this activity suspicious and potentially malicious.",Immediately review and revoke the IAM user's permissions to access Secrets Manager secrets. Rotate the secret 'secretPassword' to invalidate any compromised credentials. Conduct a thorough audit of all accesses to sensitive secrets and monitor for further unauthorized access attempts.
101,True,CredentialsFromPasswordStores,2025-03-07T10:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value of 'secretPassword' in Secrets Manager successfully (responseElements is null indicating success). This is considered malicious as per detection rules unless accessed by AWSService user, which is not the case here.",Review the access permissions for the IAM user 'HarunG1'. Immediately rotate the secret 'secretPassword' to prevent potential compromise. Enable stricter access controls and monitoring on Secrets Manager secrets. Investigate the intent and scope of this access.
103,True,CredentialsFromPasswordStores,2025-03-07T03:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret 'secretPassword' successfully at 03:00:02 UTC, which is not allowed since only AWSService users should access this secret. This indicates potential unauthorized credential access.",Review the IAM user's permissions and restrict access to secrets. Rotate the secret 'secretPassword' immediately. Monitor for further unauthorized access attempts and consider enforcing stricter access policies.
104,True,CredentialsFromPasswordStores,2025-03-07T14:00:02Z,Access to secretPassword value in Secrets Manager,"An IAM user 'HarunG1' accessed the secret value of 'secretPassword' in Secrets Manager successfully (responseElements is null indicates success). This matches the detection condition for CredentialsFromPasswordStores, which is considered malicious unless accessed by AWSService user (which is not the case here).","Verify the legitimacy of this access by user 'HarunG1'. If unauthorized, immediately revoke the user's access keys and permissions to Secrets Manager. Rotate the secret 'secretPassword' to prevent credential compromise. Review audit logs for further suspicious activity and enhance monitoring on Secrets Manager accesses."
106,True,CredentialsFromPasswordStores,2025-03-07T11:00:03Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user 'HarunG1' successfully accessed the secret 'secretPassword' in Secrets Manager at 2025-03-07T11:00:03Z. Access to 'secretPassword' is only allowed by AWSService users, indicating unauthorized access by this IAM user.",Immediately revoke the IAM user's permissions to access Secrets Manager secrets. Rotate the secret 'secretPassword' to invalidate any compromised credentials. Review IAM policies and audit logs for other suspicious activities. Implement stricter access controls and monitoring on sensitive secrets.
