event_index,malicious,detection,event_time,title,description,remediation_actions,attack_simulation
3476,False,,2025-01-19T15:19:38.750404Z,Normal HTTP GET Request,"The request is a standard GET request to the root URI without any SQL statements, directory traversal, OS commands, or Javascript functions detected. The target status code is 200 indicating a successful and non-malicious request.",,
3478,False,,2025-01-19T15:19:55.323114Z,Normal HTTP GET Request,"The HTTP GET request to the application does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions. The response status code is 200 indicating a successful operation. Therefore, this activity is not considered malicious according to the detection rules.",,
3481,False,,2025-01-19T15:12:37.638378Z,HTTP GET Request to /?id=2,"The request is a normal HTTP GET request with status code 200 and does not contain any signs of SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions.",,
3488,False,,2025-01-19T16:09:39.944353Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3489,False,,2025-01-19T15:39:40.251199Z,Normal HTTP GET Request with Callback Parameter,"The HTTP GET request to /users.json with a callback parameter 'process' does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3490,False,,2025-01-19T15:39:46.103294Z,Normal HTTP GET Request with Callback Parameter,"The HTTP GET request to /users.json with a callback parameter 'process' does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3491,False,,2025-01-19T15:40:00.104596Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3492,False,,2025-01-19T15:30:34.866501Z,Normal HTTP GET Request with Include Parameter,"The HTTP GET request to the root URI with an include parameter does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3493,False,,2025-01-19T15:30:37.743106Z,Normal HTTP GET Request with Include Parameter,"The HTTP GET request to the root URI with an include parameter does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3494,False,,2025-01-19T15:30:47.266833Z,Normal HTTP GET Request with Charset Parameter,"The HTTP GET request to the root URI with a charset=utf8 parameter does not contain any SQL statements, login parameters with SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this is not considered malicious.",,
3497,False,,2025-01-19T15:20:16.446757Z,Normal HTTP GET Request,"The HTTP GET request to the URI /?foobar returned status code 200 and does not contain any suspicious SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. This activity appears normal and not malicious.",,
3498,False,,2025-01-19T15:21:06.867087Z,Normal HTTP GET Request,"The HTTP GET request to the root URI / returned status code 200 and does not contain any suspicious SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. This activity appears normal and not malicious.",,
3500,False,,2025-01-19T15:20:41.730192Z,HTTP GET request with 500 status code,"The request resulted in a 500 status code, which is considered a false positive for exploit detection according to the given rule since the target status code is not 200. No malicious activity detected in the request.",,
3501,False,,2025-01-19T15:21:18.174302Z,HTTP GET request with 200 status code,"The request was successful with status code 200. The request contains HTML content in the comment parameter but does not contain any SQL statements, login bypass logic, directory traversal, OS commands, or JavaScript functions indicating malicious activity.",,
3503,False,,2025-01-19T15:21:22.340873Z,HTTP GET Request to demo-poc Application,"The HTTP GET request to the demo-poc application did not contain any SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200, indicating a successful and non-malicious request.",,
3504,False,,2025-01-19T15:21:34.917395Z,HTTP GET Request to demo-poc Application,"The HTTP GET request to the demo-poc application did not contain any SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200, indicating a successful and non-malicious request.",,
3505,False,,2025-01-19T15:21:45.084885Z,HTTP GET Request to demo-poc Application,"The HTTP GET request to the demo-poc application did not contain any SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200, indicating a successful and non-malicious request.",,
3506,False,,2025-01-19T15:21:47.095846Z,HTTP GET Request to demo-poc Application,"The HTTP GET request to the demo-poc application did not contain any SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200, indicating a successful and non-malicious request.",,
3508,False,,2025-01-19T15:23:16.381835Z,Normal Access to Demo POC Application,"The request is a normal GET request with no SQL statements, OS commands, Javascript functions, or directory traversal patterns. The target status code is 200 indicating successful operation. No malicious activity detected based on current and historical events.",,
3509,False,,2025-01-19T15:23:30.692500Z,Normal Access to Demo POC Application,"The request is a normal GET request to the root path with no SQL statements, OS commands, Javascript functions, or directory traversal patterns. The target status code is 200 indicating successful operation. No malicious activity detected based on current and historical events.",,
3510,False,,2025-01-19T15:23:38.093735Z,Normal Access with Redirect Parameter,"The request contains a redirect parameter with an external URL but does not contain any SQL statements, OS commands, Javascript functions, or directory traversal patterns. The target status code is 200 indicating successful operation. No malicious activity detected based on current and historical events.",,
3511,False,,2025-01-19T15:23:46.655048Z,Normal Access with Domain Parameter,"The request includes a domain parameter with a legitimate domain 'www.google.com'. There are no SQL statements, OS commands, Javascript functions, or directory traversal patterns detected. The target status code is 200 indicating successful operation. No malicious activity detected based on current and historical events.",,
3518,False,,2025-01-19T15:32:32.230123Z,HTTP GET Request with 500 Status Code,"The request returned a 500 status code indicating an internal server error. According to detection rules, non-200 status codes are considered false positives for malicious activity. No SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions detected in the request URI or parameters.",,
3524,False,,2025-01-19T14:42:52.526446Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, SQL bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200, indicating a successful operation with no signs of exploitation.",,
3525,False,,2025-01-19T14:42:52.655596Z,HTTP GET Request for favicon.ico - Not Found,"The HTTP GET request for /favicon.ico returned a 404 status code, indicating the resource was not found. This is a normal behavior and not considered malicious based on current detection rules.",,
3526,False,,2024-12-31T20:46:04.908621Z,HTTP POST Request with 501 Status Code,"The HTTP POST request to /sdk returned a 501 status code, indicating the method is not implemented. The request user agent is from Nmap Scripting Engine, which may indicate scanning activity but no exploitation attempt was detected. According to detection rules, non-200 status codes are considered false positives for malicious detection.",,
3527,False,,2024-12-31T20:46:04.965017Z,HTTP GET Request for /HNAP1 - Not Found,"The HTTP GET request to /HNAP1 returned a 404 status code, indicating the resource was not found. The user agent is from Nmap Scripting Engine, suggesting scanning activity but no exploitation attempt was detected. According to detection rules, non-200 status codes are considered false positives for malicious detection.",,
3528,False,,2024-12-31T20:46:05.089809Z,Normal HTTP GET Request,"The HTTP GET request to the root URI was successful with a 200 status code. The request does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions, indicating no malicious activity detected.",,
3529,False,,2024-12-31T20:46:04.240083Z,Malformed HTTP Request,The log entry shows a malformed HTTP request with status code 400 (Bad Request). This indicates an invalid request format but no evidence of exploitation or malicious activity based on detection rules.,,
3530,False,,2024-12-31T20:46:04.286334Z,Normal HTTP GET Request,"The HTTP GET request to the root URI was successful with a 200 status code. The request does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions, indicating no malicious activity detected.",,
3531,False,,2024-12-31T20:46:04.812017Z,Normal HTTP GET Request,"The HTTP GET request to the root URI was successful with a 200 status code. The request does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions, indicating no malicious activity detected.",,
3532,False,,2024-12-31T20:46:04.818361Z,HTTP GET Request for /nmaplowercheck1735677964 - Not Found,"The HTTP GET request to /nmaplowercheck1735677964 returned a 404 status code, indicating the resource was not found. The user agent is from Nmap Scripting Engine, suggesting scanning activity but no exploitation attempt was detected. According to detection rules, non-200 status codes are considered false positives for malicious detection.",,
3533,False,,2024-12-31T20:46:04.995400Z,HTTP GET Request for /evox/about - Not Found,"The HTTP GET request to /evox/about returned a 404 status code, indicating the resource was not found. The user agent is from Nmap Scripting Engine, suggesting scanning activity but no exploitation attempt was detected. According to detection rules, non-200 status codes are considered false positives for malicious detection.",,
3534,False,,2024-12-31T20:46:05.157030Z,Normal HTTP GET Request,"The HTTP GET request to the root URI was successful with a 200 status code. The request does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions, indicating no malicious activity detected.",,
3536,False,,2024-12-31T12:45:25.676993Z,HTTP request with command injection attempt but failed,"The request contains an OS command 'ifconfig' in the query parameter 'cmd', which matches the detection rule for ExploitPublicFacingApplication. However, the target status code is 502 (bad gateway), indicating the request was not successful and is considered a false positive for exploitation.",,
3537,False,,2024-12-31T12:45:19.182366Z,HTTP request with large size parameter but failed,"The request contains a large size parameter but no signs of SQL, OS command, or JavaScript injection attempts. The target status code is 502, indicating the request was unsuccessful and no exploitation detected.",,
3538,False,,2024-12-31T12:46:23.417019Z,Normal HTTP GET request,"The request is a normal HTTP GET to the root path with a successful 200 status code. No signs of SQL injection, OS command injection, or other malicious patterns detected.",,
3540,False,,2024-12-31T12:46:37.375524Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, SQL bypass logic, directory traversal sequences, OS commands, or Javascript functions. The target status code is 200, indicating a successful response. Therefore, this activity is not considered malicious based on the given detection rules.",,
3541,False,,2024-12-31T12:40:53.738262Z,Normal HTTP GET Request,"The HTTP GET request to the root URI with an empty query parameter does not contain any SQL statements, SQL bypass logic, directory traversal sequences, OS commands, or Javascript functions. The target status code is 200, indicating a successful response. Therefore, this activity is not considered malicious based on the given detection rules.",,
3542,False,,2024-12-31T12:40:54.065203Z,HTTP 404 Not Found for favicon.ico,"The HTTP GET request for /favicon.ico resulted in a 404 status code, indicating the resource was not found. This is a common benign event and is not considered malicious based on the given detection rules.",,
3543,False,,2024-12-31T12:40:54.656193Z,Normal HTTP GET Request,"The HTTP GET request to the root URI with an empty query parameter does not contain any SQL statements, SQL bypass logic, directory traversal sequences, OS commands, or Javascript functions. The target status code is 200, indicating a successful response. Therefore, this activity is not considered malicious based on the given detection rules.",,
3544,False,,2024-12-31T12:40:54.946012Z,HTTP 404 Not Found for favicon.ico,"The HTTP GET request for /favicon.ico resulted in a 404 status code, indicating the resource was not found. This is a common benign event and is not considered malicious based on the given detection rules.",,
3547,False,,2024-12-31T12:41:57.655497Z,HTTP GET Request to Root URI,"The event is a normal HTTP GET request to the root URI without any signs of SQL injection, directory traversal, OS commands, or Javascript functions in the request. The target status code is 200 indicating a successful operation, so this is not considered malicious under the given detection rules.",,
3548,False,,2024-12-31T12:42:01.098445Z,HTTP GET Request to Root URI,"This is a normal HTTP GET request to the root URI without any suspicious patterns such as SQL injection, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so it is not considered malicious under the given detection rules.",,
3551,False,,2024-12-31T12:42:48.375630Z,Normal HTTP GET Request,"The request is a standard HTTP GET to the root URI without any SQL statements, OS commands, Javascript functions, or directory traversal patterns. The target status code is 200, indicating a successful response, and no suspicious activity is detected.",,
3552,False,,2024-12-31T12:42:04.757128Z,Login Page Access,"This is a standard GET request to the login page with empty username and password parameters. No SQL injection, OS commands, Javascript functions, or directory traversal patterns detected. The target status code is 200 indicating a successful response.",,
3553,False,,2024-12-31T12:42:44.310818Z,Normal HTTP GET Request,"The request is a standard HTTP GET to the root URI without any SQL statements, OS commands, Javascript functions, or directory traversal patterns. The target status code is 200, indicating a successful response, and no suspicious activity is detected.",,
3555,False,,2024-12-31T12:42:53.325410Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, login bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating a successful operation, so this event is not considered malicious.",,
3557,False,,2024-12-31T12:42:58.672165Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating successful operation, so this event is not considered malicious.",,
3558,False,,2024-12-31T12:46:06.103805Z,HTTP GET Request with Potential Command Injection Attempt,"The HTTP GET request contains a 'cmd=ifconfig' parameter which resembles an OS command injection attempt. However, the target status code is 503, indicating the request was unsuccessful. According to false positive rules, this event is not considered malicious.",,
3559,False,,2024-12-31T12:46:11.387978Z,HTTP GET Request to Root URI,"The HTTP GET request to the root URI was unsuccessful with target status code 503, indicating no successful operation. No malicious patterns detected in the request.",,
3560,False,,2024-12-31T12:43:09.055809Z,Normal HTTP GET Request,"The HTTP GET request to the root URI does not contain any SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating successful operation, so this event is not considered malicious.",,
3561,False,,2024-12-31T12:44:32.712004Z,HTTP GET Request with Empty Include Parameter,"The HTTP GET request contains an 'include=' parameter but no suspicious SQL, bypass logic, directory traversal, OS commands, or Javascript functions. The target status code is 200 indicating successful operation, so this event is not considered malicious.",,
3562,False,,2024-12-31T12:44:55.455234Z,HTTP GET Request with .py File Path,"The HTTP GET request contains a path parameter 'dsvw.py' which appears to be a filename. There are no SQL statements, bypass logic, directory traversal, OS commands, or Javascript functions detected. The target status code is 200 indicating successful operation, so this event is not considered malicious.",,
